,Event ID,Egress Event Time (MM-DD-YYYY),Device ID,Tag Number,Description,Manufacturer,Model Number,Last Seen Time,Last Location,Previous Egress Location,Status,Returned At,Unable to locate,Zone ID,Zone Category,Department ,Organization Id
1,,06-29-2024 12:45:30,ac233ff5a70b,,,,,7-24-24 9:01 PM,NotInZone,,In Hospital,2024-06-29T17:58:52+00:00,N,,,Hospital,max
2,,,ac233ff5167b,,,,,7-24-24 9:01 PM,NotInZone,,In Hospital,,N,,,Hospital,max
3,,,ac233ff5af65,b64952,UNKNOWN,UNKNOWN,,7-24-24 9:01 PM,NotInZone,,In Hospital,,N,,,Hospital,max
4,,,ac233ff5aeb3,B63389,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,ICU 1 - Refined,,In Hospital,,N,FL02P2,Productive ,Hospital,max
5,14032024193700B63540,03-14-2024 19:37:00,ac233ff5b02d,B63540,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,NotInZone,,In Hospital,2024-03-18T15:45:43+00:00,N,,,Hospital,max
6,,,ac233ff5a989,B63469,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,OR 2 - Refined - Large,,In Hospital,,N,FL02P1,Productive,Hospital,max
7,,,ac233ff5ad28,B63582,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-06-16T12:29:45+00:00,N,,,Hospital,max
8,,,ac233ff5ab18,B63470,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,ICU 2 - Refined,,In Hospital,,N,FL01P2,productive,Hospital,max
9,,,ac233ff5a823,,,,,7-24-24 9:01 PM,OR Recovery - Refined,,In Hospital,,N,,,Hospital,max
10,,,ac233ff5afe5,,,,,7-24-24 9:01 PM,ICU 1 - Refined,,In Hospital,,N,FL02P2,Productive ,Hospital,max
11,,,ac233ff5a89a,B63594,UNKNOWN,UNKNOWN,Spectrum IQ,7-24-24 9:01 PM,OR Recovery - Refined,,In Hospital,,N,,,Hospital,max
12,,,ac233ff5a909,B63371,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-05-22T12:40:51+00:00,N,,,Hospital,max
13,,,ac233ff5ab02,B63178,UNKNOWN,UNKNOWN,Artic Sun 5005,7-24-24 9:01 PM,ICU 1 - Refined,,In Hospital,,N,FL02P2,Productive ,Hospital,max
14,,,ac233ff5a92e,B61833,"Circulatory Assist, Peripheral, SCD",Compression Therapy Concepts,VP500DM,7-24-24 9:01 PM,ICU 2 - Refined,,In Hospital,,N,,,Hospital,max
15,,,ac233ff5aeb0,B63568,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,NotInZone,,In Hospital,,N,,,Hospital,max
16,,,ac233ff5af2f,B64356,"Pumps, Enteral Feeding",Covidien(US),Kangaroo,7-24-24 9:01 PM,ICU 1 - Refined,,In Hospital,,N,FL02P2,Productive ,Hospital,max
